regime,level,smooth,method,rho,alpha,bound,actual_radius,oracle_radius,envelope_gap,parameter_gap,normalized_commutator,certificate_valid,certified,collapsed
orientation,0.6,True,commutator_rectangle,0.10000000000000009,2.0,0.49810798174914234,0.3041474654377875,0.2084496415554173,0.6377186672661224,0.4590932522996375,0.13032540684270022,True,True,False
orientation,0.6,True,comparison_rectangle,0.10000000000000009,2.0,0.4768384083713067,0.3041474654377875,0.2084496415554173,0.5677868881299051,0.4590932522996375,0.13032540684270022,True,True,False
discontinuous,1.0,False,local_predictor,0.1450238425005248,1.9017505781451511,0.07845512931755083,0.32118614730091405,0.1899626352068969,-0.7557331473450892,0.690785911403554,0.16576862269574735,False,False,False
discontinuous,1.0,False,pixel_curvature_predictor,0.15671255064420267,1.7458731159795278,0.22661851953000756,0.22661851953000733,0.1899626352068969,9.798166777611025e-16,0.19296365457968534,0.16576862269574735,False,False,False
discontinuous,1.0,False,predict_then_certify,0.15671255064420267,1.7458731159795278,0.48957453194733774,0.22661851953000733,0.1899626352068969,1.160346528442092,0.19296365457968534,0.16576862269574735,True,True,False
discontinuous,1.0,False,predict_angular_certify,0.15671255064420267,1.7458731159795278,0.5038445508249133,0.22661851953000733,0.1899626352068969,1.2233158696379072,0.19296365457968534,0.16576862269574735,True,True,False
discontinuous,1.0,False,block_resolvent,0.1450238425005248,1.9017505781451511,0.5784578085168322,0.32118614730091405,0.1899626352068969,0.8010048483656566,0.690785911403554,0.16576862269574735,True,True,False
discontinuous,1.0,False,block_gershgorin,0.10333333333333335,1.9947794251999,0.49381092677541394,0.2932177880504364,0.1899626352068969,0.6841097194637915,0.543555066663924,0.16576862269574735,True,True,False
discontinuous,1.0,False,commutator_rectangle,0.10333333333333335,1.9947794251999,0.44248015384531175,0.2932177880504364,0.1899626352068969,0.5090494911215984,0.543555066663924,0.16576862269574735,True,True,False
discontinuous,1.0,False,comparison_rectangle,0.10333333333333335,1.9947794251999,0.424215929529004,0.2932177880504364,0.1899626352068969,0.4467605541585853,0.543555066663924,0.16576862269574735,True,True,False
smoothed,0.6,True,local_predictor,0.141809375714976,1.92438068685052,0.058550465398290785,0.33151411110620044,0.2270230250066792,-0.8233846963469553,0.46026646899118284,0.23923916927781372,False,False,False
