n,contrast,frequency,trial,method,rho,alpha,bound,actual_radius,oracle_radius,relative_radius_gap,envelope_gap,selection_seconds,certificate_valid,collapsed
5,1.0,0,0,block_resolvent,0.1576549831574,1.7346241051762,0.2694093604390326,0.2337632574699196,0.2564840582837075,-0.08858562581170445,0.15248804861345616,0.5262838248163462,True,False
5,1.0,0,0,block_gershgorin,0.1,2.0,0.5272285813388835,0.3117371646981588,0.2564840582837075,0.2154251097872663,0.6912599492247753,0.41656202264130116,True,False
5,1.0,0,0,commutator_rectangle,0.1,2.0,0.5273841673367591,0.3117371646981588,0.2564840582837075,0.2154251097872663,0.6917590427416687,0.054473720490932465,True,False
5,1.0,0,0,comparison_rectangle,0.1,2.0,0.5270875518749997,0.3117371646981588,0.2564840582837075,0.2154251097872663,0.6908075506022999,0.0408586710691452,True,False
5,1.0,1,0,local_predictor,0.1304770872272,1.99690070567,0.002125078379749068,0.36205386296352504,0.181653299045461,0.9931037028560465,-0.9941304910756796,0.00521184504032135,False,False
5,1.0,1,0,block_resolvent,0.1304770872272,1.9969007056699,0.44802853584356733,0.36205386296345726,0.181653299045461,0.9931037028556734,0.23746376347540213,0.3969511426985264,True,False
5,1.0,1,0,block_gershgorin,0.1,2.0,0.5272285813388835,0.30385816656385806,0.181653299045461,0.6727368462920885,0.7351140741122141,0.7760712038725615,True,False
5,1.0,1,0,commutator_rectangle,0.1,2.0,0.46166069948792116,0.30385816656385806,0.181653299045461,0.6727368462920885,0.5193295763893834,0.09771314635872841,True,False
5,1.0,1,0,comparison_rectangle,0.1,2.0,0.45685578672791943,0.30385816656385806,0.181653299045461,0.6727368462920885,0.5035165646334794,0.04477233998477459,True,False
5,1.0,3,0,local_predictor,0.1301928584116,1.9987467383229,0.0008569849290976927,0.3750705645358573,0.1932518425728364,0.9408382323417881,-0.9977151368032354,0.005156336352229118,False,False
5,1.0,3,0,block_resolvent,0.1301928584116,1.9987467383229,0.4458728385007955,0.3750705645358573,0.1932518425728364,0.9408382323417881,0.18877054255791756,0.6525815166532993,True,False
5,1.0,3,0,block_gershgorin,0.1,2.0,0.5272285813388833,0.31174064380037814,0.1932518425728364,0.6131315471565734,0.6912410743479827,0.6131240297108889,True,False
5,1.0,3,0,commutator_rectangle,0.1,2.0,0.4808899445304378,0.31174064380037814,0.1932518425728364,0.6131315471565734,0.5425962385526276,0.1019013449549675,True,False
